Audio File,Transcription (Uppercase),Transcription (List of Words)
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2633_Mandarin.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2634_Mandarin.wav,怎麼唱歌,['怎麼唱歌']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2635_Mandarin.wav,怎麼唱,['怎麼唱']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2636_Mandarin.wav, WHAT'S UP?,"[""WHAT'S"", 'UP?']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2639_English.wav, BYE!,['BYE!']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2640_Mandarin.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2643_Mandarin.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2644_Mandarin.wav, DID YOU WANT ME NOT TO?,"['DID', 'YOU', 'WANT', 'ME', 'NOT', 'TO?']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2647_Mandarin.wav,你家還有滿一毛錢的,['你家還有滿一毛錢的']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2648_Mandarin.wav,那好啊,['那好啊']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2650_Mandarin.wav,那還有芋頭,['那還有芋頭']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2652_Mandarin.wav,"姐姐,兩個姐姐在玩羽毛","['姐姐,兩個姐姐在玩羽毛']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2653_Mandarin.wav,在打羽毛球的時候,['在打羽毛球的時候']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2654_Mandarin.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2655_Mandarin.wav, E-O-,['E-O-']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2656_Mandarin.wav, YOUNG.,['YOUNG.']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2657_Mandarin.wav,姐姐在打羽毛球,['姐姐在打羽毛球']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2658_Mandarin.wav, SO.,['SO.']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2660_Mandarin.wav,妹妹要去,['妹妹要去']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2661_Mandarin.wav,還有密封 密封來,"['還有密封', '密封來']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2662_Mandarin.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2663_Mandarin.wav,這個蜜蜂在飛什麼,['這個蜜蜂在飛什麼']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2665_Mandarin.wav, WHAT'S THE MATTER?,"[""WHAT'S"", 'THE', 'MATTER?']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2667_Mandarin.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2668_Mandarin.wav," THANK YOU, MARIE.","['THANK', 'YOU,', 'MARIE.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2669_English.wav, OH,['OH']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2671_Mandarin.wav," E AÍ, MARIA...","['E', 'AÍ,', 'MARIA...']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2672_Mandarin.wav,那好了你还喜欢,['那好了你还喜欢']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2673_Mandarin.wav,這張片告訴我你,['這張片告訴我你']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2675_Mandarin.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2676_Mandarin.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2678_Mandarin.wav, PASS THE,"['PASS', 'THE']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2680_Mandarin.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2681_Mandarin.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2683_Mandarin.wav,她是姐姐,['她是姐姐']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2684_Mandarin.wav,鸭子在哪里,['鸭子在哪里']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2685_Mandarin.wav, THAT'S IT.,"[""THAT'S"", 'IT.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2686_Mandarin.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2688_Mandarin.wav, QUASE!,['QUASE!']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2689_Mandarin.wav, NO.,['NO.']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2690_Mandarin.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2693_Mandarin.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2695_Mandarin.wav,然後在這裡,['然後在這裡']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2697_Mandarin.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2698_Mandarin.wav, O E-MAIL,"['O', 'E-MAIL']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2699_Mandarin.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2701_Mandarin.wav, O QUANTO É QUE...,"['O', 'QUANTO', 'É', 'QUE...']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2702_Mandarin.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2704_English.wav," OKAY, WE ARE DONE.","['OKAY,', 'WE', 'ARE', 'DONE.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2705_English.wav," OKAY, THANK YOU SO MUCH.","['OKAY,', 'THANK', 'YOU', 'SO', 'MUCH.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2706_English.wav, I'LL PAUSE THE RECORDING.,"[""I'LL"", 'PAUSE', 'THE', 'RECORDING.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2707_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2708_English.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2709_English.wav, ONCE YOU'RE READY TO MOVE ON TO THE NEXT PAGE YOU CAN TELL,"['ONCE', ""YOU'RE"", 'READY', 'TO', 'MOVE', 'ON', 'TO', 'THE', 'NEXT', 'PAGE', 'YOU', 'CAN', 'TELL']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2710_English.wav," OTHERWISE, IF YOU'RE READY, LET'S GO.","['OTHERWISE,', 'IF', ""YOU'RE"", 'READY,', ""LET'S"", 'GO.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2711_English.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2712_English.wav, OKAY.,['OKAY.']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2713_English.wav, WHAT A SCARE.,"['WHAT', 'A', 'SCARE.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2714_Mandarin.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2716_Mandarin.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2718_Mandarin.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2719_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2720_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2721_Mandarin.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2724_English.wav, LET'S GO.,"[""LET'S"", 'GO.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2725_English.wav, WHAT A SCARY,"['WHAT', 'A', 'SCARY']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2726_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2727_English.wav, OKAY.,['OKAY.']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2728_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2729_English.wav," OH, THERE'S AN ORANGE.","['OH,', ""THERE'S"", 'AN', 'ORANGE.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2730_English.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2732_English.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2733_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2734_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2736_English.wav, THERE'S A DROP OF RAIN.,"[""THERE'S"", 'A', 'DROP', 'OF', 'RAIN.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2738_English.wav," OH, SO WHAT DOES THE ORAL...","['OH,', 'SO', 'WHAT', 'DOES', 'THE', 'ORAL...']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2741_English.wav, WHAT I DON'T KNOW,"['WHAT', 'I', ""DON'T"", 'KNOW']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2744_English.wav, YOU STRETCH OUT,"['YOU', 'STRETCH', 'OUT']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2746_English.wav, AND CAN,"['AND', 'CAN']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2747_English.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2748_English.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2750_English.wav, THERE WAS.,"['THERE', 'WAS.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2751_English.wav, WHAT IS THE ORA OTA HOLDING,"['WHAT', 'IS', 'THE', 'ORA', 'OTA', 'HOLDING']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2752_English.wav, A TREE BROUGHT...,"['A', 'TREE', 'BROUGHT...']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2753_English.wav, IS ON TOP OF IT.,"['IS', 'ON', 'TOP', 'OF', 'IT.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2754_English.wav, OH,['OH']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2756_English.wav, VERY GOOD.,"['VERY', 'GOOD.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2757_English.wav, OKAY.,['OKAY.']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2758_English.wav, SO WHAT HAPPENS TO THIS?,"['SO', 'WHAT', 'HAPPENS', 'TO', 'THIS?']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2759_English.wav, THERE IS MORE WATER DROP.,"['THERE', 'IS', 'MORE', 'WATER', 'DROP.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2761_English.wav, SO WHAT I'M GOING TO DO IS I'M GOING TO GO AHEAD AND START THE RECORDING.,"['SO', 'WHAT', ""I'M"", 'GOING', 'TO', 'DO', 'IS', ""I'M"", 'GOING', 'TO', 'GO', 'AHEAD', 'AND', 'START', 'THE', 'RECORDING.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2762_English.wav, IT'S STARTING TO DRIZZLE,"[""IT'S"", 'STARTING', 'TO', 'DRIZZLE']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2763_English.wav, SO WHAT HAPPENS TO THE ORANG UTAM?,"['SO', 'WHAT', 'HAPPENS', 'TO', 'THE', 'ORANG', 'UTAM?']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2765_English.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2766_English.wav, WHAT'S THE.,"[""WHAT'S"", 'THE.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2767_English.wav, DONE WHAT'S THE ORANGE,"['DONE', ""WHAT'S"", 'THE', 'ORANGE']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2769_English.wav, WAS THE ORAL,"['WAS', 'THE', 'ORAL']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2771_English.wav, ALWAYS,['ALWAYS']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2772_English.wav," OH, WHAT HAPPENS TO...","['OH,', 'WHAT', 'HAPPENS', 'TO...']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2773_English.wav, SO WHAT HAPPENED?,"['SO', 'WHAT', 'HAPPENED?']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2774_English.wav, THE RAINDROP FALLS.,"['THE', 'RAINDROP', 'FALLS.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2775_English.wav, ORANG UTANG,"['ORANG', 'UTANG']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2776_English.wav, NOW WHAT THAT'S THE ORAL,"['NOW', 'WHAT', ""THAT'S"", 'THE', 'ORAL']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2777_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2778_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2779_English.wav, LUCK,['LUCK']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2780_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2781_English.wav, LEE!,['LEE!']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2783_English.wav, AND COVER HIMSELF,"['AND', 'COVER', 'HIMSELF']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2785_English.wav, SELF WHEN IT'S GET BIGGER AND BIGGER,"['SELF', 'WHEN', ""IT'S"", 'GET', 'BIGGER', 'AND', 'BIGGER']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2787_English.wav, IT'S ONLY COVERING,"[""IT'S"", 'ONLY', 'COVERING']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2789_English.wav, PEACE.,['PEACE.']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2790_English.wav, SO I HAVE A STORY,"['SO', 'I', 'HAVE', 'A', 'STORY']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2791_English.wav, IS TO DRENCH IN,"['IS', 'TO', 'DRENCH', 'IN']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2792_English.wav, SO YOU KNOW WHAT TO SING WHEN YOU'RE IN A HURRY.,"['SO', 'YOU', 'KNOW', 'WHAT', 'TO', 'SING', 'WHEN', ""YOU'RE"", 'IN', 'A', 'HURRY.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2793_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2794_English.wav, YOU KNOW HOW TO SING?,"['YOU', 'KNOW', 'HOW', 'TO', 'SING?']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2795_English.wav," RAIN, RAIN, GO AWAY.","['RAIN,', 'RAIN,', 'GO', 'AWAY.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2796_English.wav, COME AGAIN ANOTHER DAY,"['COME', 'AGAIN', 'ANOTHER', 'DAY']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2797_English.wav," ONE, TWO.","['ONE,', 'TWO.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2798_English.wav," OUI, OUI, GO, OH OUI !","['OUI,', 'OUI,', 'GO,', 'OH', 'OUI', '!']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2800_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2801_English.wav, IS IT A HAPPY DAY OR?,"['IS', 'IT', 'A', 'HAPPY', 'DAY', 'OR?']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2802_English.wav," OH, IT'S A BIT SAD BECAUSE THE ORANGUTAN DOES...","['OH,', ""IT'S"", 'A', 'BIT', 'SAD', 'BECAUSE', 'THE', 'ORANGUTAN', 'DOES...']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2803_English.wav, UMBRELLA!,['UMBRELLA!']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2804_English.wav, OKAY,['OKAY']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2805_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2806_English.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2807_English.wav, THANKS FOR WATCHING.,"['THANKS', 'FOR', 'WATCHING.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2808_English.wav, THE SMALL LEAF CANNOT COVER THE ORANGUTAN.,"['THE', 'SMALL', 'LEAF', 'CANNOT', 'COVER', 'THE', 'ORANGUTAN.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2810_English.wav, BODY,['BODY']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2811_English.wav, HE WANTS TO PLUCK A BIG,"['HE', 'WANTS', 'TO', 'PLUCK', 'A', 'BIG']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2812_English.wav, SO HE THREW AWAY THE SMALL,"['SO', 'HE', 'THREW', 'AWAY', 'THE', 'SMALL']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2813_English.wav, LEAF AND GOES TO NEARBY AND,"['LEAF', 'AND', 'GOES', 'TO', 'NEARBY', 'AND']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2814_English.wav, BEAC UNLEASH!,"['BEAC', 'UNLEASH!']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2815_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2816_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2817_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2818_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2819_English.wav, DOWN.,['DOWN.']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2820_English.wav, SEE YOU.,"['SEE', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2821_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2822_English.wav, IS THAT MANY?,"['IS', 'THAT', 'MANY?']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2823_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2824_English.wav, OCH HAR.,"['OCH', 'HAR.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2826_English.wav,,[]
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2827_English.wav, SHE ACCIDENTALLY PRESSED THE BUTTON.,"['SHE', 'ACCIDENTALLY', 'PRESSED', 'THE', 'BUTTON.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2828_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2829_English.wav, AQUÍ LA MÍA ESTÁ.,"['AQUÍ', 'LA', 'MÍA', 'ESTÁ.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2830_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2833_English.wav, TCHAU.,['TCHAU.']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2835_English.wav, THANK YOU.,"['THANK', 'YOU.']"
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2836_English.wav, BYE-BYE.,['BYE-BYE.']
TTS_P73850TT_VCST_ECxxx_02_AO_98277298_v001_R003_CRR_MERLIon-CCS_segment_2838_English.wav, I,['I']
