file_name,Transcription Zipformer,Transcription whisper
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1203_English.wav,CAN YOU SEE,选 择 C
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1204_Mandarin.wav,噗噗,负 比
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1205_Mandarin.wav,,嗯 嗯
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1206_Mandarin.wav,对了很好,我 对 应 的 很 巧
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1207_English.wav,ITS WONDERFUL,WHATS WATER FOR
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1208_English.wav,OKAY NEXT,哎 MAKES
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1209_English.wav,OR WHATS THE PERSON DOING,FOR WHATS THE PERSON DOING
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1211_English.wav,AND TEAR THE PAPER,动 词 CANT BE FOUND
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1213_English.wav,YES IM A MOM,对 AM AMONG
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1214_English.wav,YEAH IM WALKING,好 GET MORE OK
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1215_English.wav,HAIR IN CHINESE IS CALLED,TEN CHINESE IS
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1216_Mandarin.wav,是,有 丝
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1217_English.wav,CAN YOU SEE ME,CAN USE
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1218_Mandarin.wav,,迪 斯
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1219_Mandarin.wav,,宾 语
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1220_English.wav,OKAY VERY GOOD,THANK YOU VERY GOOD
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1221_English.wav,OR SHES YOUR FAVORITE,我 吸 引 小 FEVER
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1223_Mandarin.wav,SÍ CUÁLES,西 瓜
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1225_English.wav,ВОТ ТАК,FALL DOWN
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1226_English.wav,OKAY,不 看
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1228_English.wav,I THINK YOU CUT,来 自 义 看
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1229_Mandarin.wav,西瓜圆哪圆,西 瓜 元 哪 援
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1230_English.wav,WHO THAT IS,WHO DAVE
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1231_English.wav,MMM F F,嗯 没 有
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1232_Mandarin.wav,I DONT,生 产 的
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1233_English.wav,THANK YOU,好 吧 没 有 我 们
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1234_English.wav,MAMI,嗯 满
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1235_Mandarin.wav,,你 肯 定
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1236_English.wav,SEEKOR FOR YOU,THE SECRET FOR YOU
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1237_English.wav,TERIMA KASIH,第 几 个 FOR YOU
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1238_English.wav,MOMMY I DO,TELL ME AGAIN
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1239_Mandarin.wav,THANK YOU,急
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1240_English.wav,GRACIAS,关 联 系
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1241_English.wav,YEAH,变
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1242_English.wav,OH THIS IS A STRONG NAME,哦 THIS IS A STRONG MAN
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1243_English.wav,BYE,怎 么 办
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1244_English.wav,,嗯
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1245_English.wav,IM SHOWING THE MUSCLES THIS IS THE MUSCLES ON YOUR HEAD LIKE THAT,你 说 你 的 MUSCLE THIS IS THE MUSCLE 是 哪 天 哪 里
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1246_English.wav,MESSES,MESSELS
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1247_Mandarin.wav,很有利,很 牛
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1248_English.wav,THIS,嗯 没 事
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1249_Mandarin.wav,WAYS,对 意 思 就 是
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1250_English.wav,HELLO,那 就
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1251_English.wav,,对 THE ONE OK
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1252_English.wav,YEAH,对 呀
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1253_English.wav,OH,哦
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1254_Mandarin.wav,TALENT,呃 差
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1255_English.wav,REMEMBER THE BOOK WE READ,REMEMBER 的 呃 不 一
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1256_Mandarin.wav,,LAST NIGHT 桥 是 什 么 颜 色
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1257_Mandarin.wav,GRACIAS,HOUSE
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1258_Mandarin.wav,綠色的,绿 色 的
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1260_Mandarin.wav,LISTO,THE LEAST
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1262_English.wav,THE PLANT RIGHT BUT NOW THIS ONE NO COLOUR,嗯 THE FLAGRATE 晚 上 都 卡 了
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1263_English.wav,BYE,嗯 我 们 也
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1264_English.wav,BUT NORMALLY,BUT NO MONEY
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1265_Mandarin.wav,草莓綠色,桥 是 绿 色
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1266_English.wav,OKAY,嗯 没
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1267_English.wav,ALL RIGHT,嗯
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1268_English.wav,OH,嗯
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1269_English.wav,OH MR ROSE,OH MISTER ROW
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1271_English.wav,THANK YOU,嗯
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1272_Mandarin.wav,VAMOS A TOMAR,我 们 购 买
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1275_English.wav,OKAY,哼 嘿
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1277_English.wav,BYE,哦
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1278_English.wav,OH PHINEAS,嗯 我 给 你
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1279_English.wav,BYE,你 是 因 为
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1281_English.wav,LETS GO BACK TO THE BOOK,LETS GO BACK TO THE BOAT
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1282_English.wav,BYE,WHY
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1284_English.wav,YEAH,把 它 俩 一 起
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1285_English.wav,YEAH THIS IS THE MOST,啊 YEAH DESIST 嘛
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1286_English.wav,OKAY,诶
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1287_English.wav,SO YOU ARE THE NEXT SPEECH I WILL,嗯 啊
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1288_English.wav,,ONLY
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1289_English.wav,I WILL,啊 STAY WITH
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1290_English.wav,YEAH,好 啦
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1291_English.wav,YEAH I DID,啊 给 你
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1292_English.wav,OK TAMBIÉN,ANY OK 下 面
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1293_English.wav,YOURE HERE,你 我 写
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1294_English.wav,THANK YOU,看 一 下 这 个
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1295_English.wav,ME AND MY BABY,面 外 没 明
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1296_English.wav,YOU LIKE THIS BOOK RIGHT,牛 奶 IS BREAD
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1297_English.wav,OKAY WHENEVER YOURE READY,诶 对 WHATEVER YOU ARE READING 你 想 一 下
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1298_English.wav,OKAY LETS GO,OK LETS GO
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1301_English.wav,SÍ,五 级
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1302_English.wav,WHATS THE MATTER,我 写 到 地 点
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1304_English.wav,LIKE HES SINGING,嗯 怎 么 可 以 使 用
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1306_English.wav,THAT IN THE ZOOM WE WENT TO THE PEOPLE WHERE YOU GO TO THE,THAT IN THE ZOOD WE WERE VERY GOOD TOD
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1307_English.wav,ZOO THEN THE MONKEYS FINISHING RIGHT ON THE BENCH,AS YOU NEED MY DISTINCT SINGER AND RIGHT
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1308_English.wav,SING SING SING,请 清 楚
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1309_English.wav,YOURE IN,给 你 直 接
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1310_English.wav,WHAT DOES OO SAY OO,WORDS O O T O O
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1311_English.wav,WHAT DOES HE FEEL,WHAT DOES SHE FEEL
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1312_English.wav,BYE,对
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1313_English.wav,RAIN YEAH THE RAIN IS COMING DOWN RIGHT,嗯 你 看 IT IS COMING DOWN
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1314_English.wav,おーで,对 哦 哦 对
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1315_English.wav,THEN WE GO AND SEE THE NEXT PAGE,ANY 关 系 的 那 个 SPEECH
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1317_English.wav,OH RAIN SO WHAT DOES SHE DO,哦 RAIN 坐 在 西 兜
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1319_English.wav,THANK YOU,词 等 于
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1320_English.wav,HE GO AND TAKE THE LEAF RIGHT AND THEN HE COVER HIMSELF,一 个 DIGNIFE AND HE COVERED HIMSELF 对
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1321_English.wav,TO COVER HIMSELF FROM THE RAIN RIGHT AND THEN HE COME HE TAKE THE LEAD AND HE COME,TO COVER YOURSELF FROM THE READER AND IN TIME HE DID LIVE IN
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1322_English.wav,THANK YOU,啥
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1324_English.wav,APA YANG BERLAKU BUNGA ITU SANGAT KECIL,BY BEND THE LEAF IS SO SMALL
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1325_English.wav,CANNOT COVER HIM SO HES STILL GETTING,哦 CANNOT TROUBLE HIM SINCE 就 给 定 了
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1326_English.wav,HIS HAND AND HIS LEGS TO GETTING WET,HE SENTENCED TO GET 定 位
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1327_English.wav,THANK YOU,哎
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1328_English.wav,OKAY LET ME SEE WHAT HAPPENS NEXT,NOW YOU SEE WHAT HAVE BIRTHDAY
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1329_English.wav,OH DIA PERGI CARI DAUN BESAR,哦 等 WHETHER SHE DO ALL HE GOING TO FIND A BIG LIF
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1330_English.wav,WERE GOING TO TAKE A BIGGER,永 远 的 哪 个 BIG
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1331_English.wav,BYE,瓦
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1333_English.wav,THIS LEAF IS BIGGER RIGHT BUT THEN YOU SEE ITS GOT HOLES IN BETWEEN,THIS IS BIGGER RIGHT BUT IF SHE IS A WHO SIMPLY
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1334_English.wav,SURE,THROUGH
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1335_English.wav,WE STILL CAN DO IT,HE STOOD AWAY
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1336_English.wav,,嗯
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1337_English.wav,GRACIAS,没 有
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1338_English.wav,NO,没 有 联 系
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1339_English.wav,GRACIAS,不 要 死 你 没 写
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1341_English.wav,BYE,平 北
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1342_English.wav,WHAT HAPPENS OH THEN SO HE THEN I THINK HE THREW AWAY THIS LEAF LIKE HE DONT WANT,IBNT SO HE DIDNT ENJOY THIS DIFFER 你 多
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1343_English.wav,THAT HE WENT AND FOUND ANOTHER,那 一 个 你 翻 译 在 哪 里
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1344_English.wav,BYE,IS 换
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1345_English.wav,BECAUSE HE WAS STILL GETTING WET SO HE WENT AND FIND A BIGGER LEAF,嗯 人 关 系 的 是 这 个 定 位 就 已 被 翻 译 的 BIG LI
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1346_English.wav,BIG,BIG
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1347_English.wav,AND NOW HE COVER RIGHT,YOU KNOW IT CUBLE RIGHT 哦
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1348_English.wav,DAN SEKARANG LIFT BOLEH MENUTUPI DIA,YOU KNOW THE LEAST CAN TRAVEL HIM
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1349_English.wav,SO YOU GET,仔 细 节
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1350_English.wav,THANK YOU,好 的
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1351_English.wav,NO NOT ANYMORE,NO NOT ANY MORE
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1352_English.wav,YEAH OKAY,呀 你 可 以 等 一 下
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1354_English.wav,OH WHAT HAPPENED,哦 WHATEVER WAS
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1355_English.wav,LIKE ME,喂 你
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1356_English.wav,THANK YOU,另 一 类
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1357_English.wav,,你 的 孩 子
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1358_English.wav,,MY EXAME SOMEBODYS SOME QUESTION
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1360_English.wav,ZUM,嗯
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1361_English.wav,,嗯
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1363_English.wav,REMEMBER THE TIME WHEN THEY WERE STANDING AT THE POST OFFICE,明 白 没 有 三 倍 我 国 杀 手
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1364_English.wav,THANK YOU,好
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1365_English.wav,BOA NOITE,嗯 如 果 我 们
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1366_English.wav,WHAT IS IT,不 敌
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1367_English.wav,GRACIAS,嗯
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1368_English.wav,BYE,花 没 有
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1370_English.wav,BECAUSE YOU WERE,还 是 一 个 语 文
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1371_English.wav,SCARED I WILL SEE YOU AT THE SAME RIGHT LITTLE MONKEY,GET THE SAME RIGHT AND MONKEY
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1372_English.wav,SO HE WRITES,YEAH 做 题 RIGHT
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1374_English.wav,,嗯
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1376_English.wav,,大 概 率
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1377_English.wav,IS THAT YOU RIGHT AND THEN ARE YOU READY,BUT YOU RIGHT IT NAME
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1379_English.wav,WHERE DOES HE WANT TO BE SEEN,为 联 席 园 读 一 席
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1380_English.wav,OH SEE HES RUNNING TO THE SHOW,哦 我 心 喜 欢 那 个
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1381_English.wav,LA LA LA LA LA LA,啊 来 念 来 慢 慢
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1382_English.wav,RIGHT RIGHT I HOPE YOU STAND UNDER THE SHELTER,慢 然 后 HIS SHELF THE OH HE SEE
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1383_English.wav,HES HOLDING ON TO THE UMBRELLA RIGHT,嗯 你 说 另 外 一 个 UMBRELLA IS
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1384_English.wav,THANK YOU,十
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1385_English.wav,GRACIAS,WHY IS THAT
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1386_English.wav,THANK YOU,啊
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1387_English.wav,THANK YOU,副 词
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1388_English.wav,,你 选 的 RIGHT IN THAT
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1389_English.wav,LISA,你 算
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1391_English.wav,TCHAU,嗯
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1392_English.wav,YEAH ITS STILL UNDER THE RAIN,YEAH YOU STILL UNDER THE READER
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1393_English.wav,SO HES RUNNING THEN HES RUNNING TO THE,诶 所 以 RUNNING 唉 RUNNING DO THE
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1394_English.wav,一番大事にしてなんだ,你 急 慢 的 那 你 现 在 的
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1395_English.wav,YEAH HES TRUE,哦 IS TRUE
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1396_English.wav,GRACIAS,你
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1397_English.wav,THANK YOU,啊
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1398_English.wav,NÃO,哦 那
TTS_P42566TT_VCST_ECxxx_03_AO_98736903_v001_R007_CRR_MERLIon-CCS_segment_1399_English.wav,OBRIGADA,KING FAMIL
